1419143910165,mechanism,type,bid
1419143918455,2,j,30
1419143929201,2,i1,5
1419143936947,2,i2,20
1419143945895,2,i1,15
1419143945981,winner,seller,30
1419143946454,winner,i2type,5
1419143946711,winner,i1type,5
